transaction_id,transaction_ts,customer_id,customer_age,account_age_days,merchant_category,payment_method,channel,country,currency,quantity,unit_price,discount_pct,amount,num_prior_txns,is_fraud
14920,2025-06-26 02:19:45,12634,47.0,691,travel,credit_card,online,MX,MXN,4,459.97,0.219,1438.28,30,0
3568,2025-02-11 16:46:57,13878,21.0,539,restaurant,debit_card,in_store,BR,BRL,3,9.46,0.066,26.47,16,0
3351,2025-02-12 12:08:39,10117,41.0,2054,electronics,credit_card,in_store,US,USD,2,174.57,0.043,336.19,94,1
16021,2025-03-25 05:25:39,13998,47.0,19,grocery,wallet,online,MX,MXN,4,21.19,0.15,69.93,0,0
14031,2025-08-11 12:10:20,14956,,179,restaurant,bank_transfer,in_store,BR,BRL,3,6.17,0.148,14.53,11,0
14486,2025-07-09 02:41:43,12412,72.0,281,entertainment,credit_card,in_store,MX,MXN,3,17.49,0.103,44.29,21,0
11113,2025-08-23 14:57:34,11142,51.0,462,restaurant,credit_card,in_store,MX,MXN,1,16.24,,15.36,17,0
13264,2025-01-17 03:47:48,11133,33.0,8,utilities,credit_card,online,MX,MXN,3,23.78,0.261,55.26,0,0
19760,2025-04-06 15:26:28,10291,31.0,382,restaurant,credit_card,online,MX,MXN,4,15.91,0.173,50.81,12,0
2253,2025-03-07 03:39:13,11806,24.0,55,utilities,credit_card,online,US,USD,2,21.6,0.074,41.48,2,0
4983,2025-02-20 23:30:40,13971,39.0,918,restaurant,wallet,in_store,MX,MXN,2,25.0,0.24,36.15,42,0
5237,2025-05-31 09:08:30,12758,,57,grocery,debit_card,in_store,US,USD,4,11.36,0.293,32.14,2,0
13623,2025-06-20 01:27:14,10639,20.0,36,entertainment,credit_card,online,MX,MXN,5,11.95,0.3,42.47,1,0
6474,2025-09-15 02:38:57,14120,45.0,894,grocery,debit_card,in_store,AR,USD,2,2.95,0.392,2.31,41,0
4117,2025-01-06 23:06:00,14314,43.0,1635,utilities,credit_card,online,CA,USD,6,26.48,0.071,146.99,62,0
5981,2025-06-13 17:55:35,14988,42.0,140,electronics,debit_card,in_store,US,USD,3,572.13,0.006,1707.04,7,0
15789,2025-09-03 18:34:51,14896,34.0,1156,entertainment,credit_card,online,,,5,20.5,0.059,96.8,49,0
6898,2025-03-30 21:14:11,13118,45.0,255,healthcare,debit_card,online,US,USD,1,62.34,0.195,50.23,15,0
6104,2025-01-27 19:56:22,14930,41.0,125,grocery,credit_card,online,US,USD,2,5.58,0.091,10.53,3,0
4393,2025-01-04 13:23:31,10118,66.0,1,entertainment,credit_card,in_store,MX,MXN,4,13.96,0.294,41.78,2,0
7007,2025-06-14 22:10:15,13979,43.0,74,restaurant,credit_card,in_store,AR,USD,4,8.16,0.173,26.8,4,0
5009,2025-07-13 02:52:11,11418,35.0,492,entertainment,credit_card,online,AR,USD,2,3.98,0.075,6.51,24,0
9006,2025-06-16 11:42:56,14134,18.0,567,electronics,debit_card,in_store,MX,MXN,3,155.28,0.256,346.38,16,0
9450,2025-01-19 03:55:42,11926,40.0,200,travel,credit_card,in_store,US,USD,3,256.28,0.171,638.15,7,0
17653,2025-01-13 19:40:37,10538,37.0,44,healthcare,debit_card,in_store,CA,USD,5,49.42,,217.09,0,0
17967,2025-09-12 02:16:04,11137,57.0,38,clothing,wallet,online,MX,MXN,3,33.01,0.178,80.87,2,0
17679,2025-06-04 19:02:48,14243,44.0,437,electronics,credit_card,in_store,BR,BRL,5,406.63,0.198,1630.81,13,0
15057,2025-07-13 06:22:18,10198,53.0,317,utilities,debit_card,online,US,USD,5,34.16,0.271,123.79,18,0
5316,2025-06-02 17:31:31,11692,44.0,80,utilities,credit_card,online,AR,USD,4,115.12,0.148,392.56,2,0
9255,2025-08-23 20:02:07,10796,32.0,640,entertainment,credit_card,in_store,BR,BRL,5,17.7,0.142,77.94,18,0
16412,2025-04-11 08:31:36,12091,40.0,191,restaurant,debit_card,online,MX,MXN,1,16.85,0.169,15.8,10,0
1579,2025-01-31 20:03:48,12963,56.0,522,entertainment,debit_card,in_store,MX,MXN,2,3.57,0.23,8.24,23,0
7534,2025-05-19 15:53:25,12000,34.0,1223,electronics,debit_card,online,,,3,98.06,0.034,284.54,43,0
13898,2025-07-13 05:28:02,11475,29.0,297,travel,credit_card,in_store,CA,USD,2,219.54,0.259,327.9,14,0
5766,2025-05-29 07:38:52,11809,38.0,265,entertainment,credit_card,online,MX,MXN,1,12.36,0.207,7.98,16,0
18661,2025-01-13 01:25:08,11013,29.0,294,clothing,debit_card,in_store,US,USD,3,95.73,0.039,273.71,10,0
3230,2025-08-14 20:34:48,12267,46.0,202,restaurant,wallet,online,MX,MXN,4,5.69,0.16,19.64,9,0
4092,2025-01-12 16:50:50,10396,43.0,602,electronics,debit_card,online,MX,MXN,4,325.14,0.111,1156.06,27,0
11728,2025-07-18 23:18:42,12148,44.0,337,healthcare,debit_card,in_store,BR,BRL,2,59.99,0.252,90.48,13,0
10917,2025-04-27 14:43:03,14175,43.0,44,entertainment,wallet,online,AR,USD,6,21.05,0.02,122.34,2,0
2863,2025-08-14 04:10:11,10681,35.0,1111,clothing,wallet,in_store,US,USD,1,18.47,0.077,17.66,46,0
16526,2025-08-12 14:32:31,10830,29.0,143,electronics,bank_transfer,online,MX,MXN,4,119.99,0.074,441.72,3,0
9165,2025-09-13 07:36:37,12576,38.0,274,healthcare,bank_transfer,online,BR,BRL,3,14.56,0.198,34.24,9,0
4659,2025-04-24 17:41:32,11801,39.0,309,clothing,credit_card,in_store,MX,MXN,4,5.46,0.086,19.98,17,0
17530,2025-04-18 10:14:38,11147,75.0,209,utilities,wallet,in_store,ES,USD,2,22.42,0.076,42.36,6,0
13797,2025-08-22 03:18:06,14280,34.0,1104,grocery,credit_card,online,AR,USD,3,15.03,0.101,40.93,43,0
5145,2025-06-22 22:45:11,13314,18.0,431,restaurant,bank_transfer,online,MX,MXN,2,16.06,0.209,27.23,18,0
15880,2025-06-18 18:25:25,11846,46.0,1521,clothing,wallet,in_store,US,USD,3,34.14,0.051,96.82,55,0
7706,2025-04-10 06:27:08,11555,47.0,219,restaurant,bank_transfer,in_store,US,USD,5,6.6,0.021,29.65,12,0
15052,2025-03-04 09:40:47,13705,48.0,64,restaurant,debit_card,online,MX,MXN,1,12.65,0.097,11.4,2,0
6761,2025-01-09 04:09:33,12301,43.0,287,healthcare,debit_card,online,BR,BRL,2,45.09,0.037,85.25,11,0
13083,2025-02-20 12:00:13,14981,67.0,799,utilities,credit_card,in_store,CO,USD,2,41.67,0.116,73.79,27,0
7299,2025-04-27 23:55:45,10740,,123,grocery,debit_card,in_store,CO,USD,5,7.61,0.329,24.78,7,0
13050,2025-04-03 11:34:15,10195,22.0,8,utilities,debit_card,online,AR,USD,7,18.0,0.086,112.01,0,0
6116,2025-02-10 13:35:24,12251,35.0,1155,electronics,credit_card,online,MX,MXN,3,94.1,0.004,280.61,35,0
12351,2025-03-02 21:48:29,10777,48.0,33,travel,wallet,online,BR,BRL,2,559.0,0.261,827.06,0,0
6853,2025-07-02 00:43:41,13485,53.0,351,grocery,wallet,in_store,MX,MXN,3,5.03,0.293,9.06,13,0
3979,2025-05-27 21:53:37,10405,44.0,324,clothing,credit_card,online,MX,MXN,4,30.79,0.387,74.0,10,0
11485,2025-08-22 15:51:50,10327,72.0,316,clothing,credit_card,online,MX,MXN,4,39.97,0.243,121.77,11,1
9567,2025-03-01 17:37:53,13975,48.0,493,clothing,wallet,online,US,USD,1,19.68,,18.47,21,1
6585,2025-07-16 08:01:57,14987,51.0,286,grocery,debit_card,in_store,CO,USD,3,2.45,0.057,7.16,15,0
10848,2025-01-02 00:21:25,11765,40.0,212,healthcare,debit_card,in_store,MX,MXN,3,106.97,0.061,300.92,17,0
15726,2025-02-04 00:12:45,13138,19.0,156,entertainment,debit_card,in_store,MX,MXN,4,18.15,,66.68,4,0
12964,2025-05-06 19:46:25,12670,31.0,2680,healthcare,wallet,online,MX,MXN,4,21.14,0.187,67.82,124,0
16345,2025-03-05 14:28:44,14459,39.0,341,clothing,credit_card,online,ES,USD,3,38.87,0.201,93.45,15,0
18529,2025-04-16 06:08:40,14170,24.0,248,entertainment,bank_transfer,online,MX,MXN,8,9.7,0.038,75.55,10,0
16994,2025-02-13 02:12:04,13344,34.0,512,clothing,wallet,online,CA,USD,2,37.38,0.057,-71.5,25,0
6161,2025-03-06 22:15:36,14218,40.0,675,grocery,credit_card,online,MX,MXN,3,9.58,0.043,24.8,27,0
17672,2025-01-23 17:23:10,11505,73.0,417,restaurant,wallet,online,BR,BRL,3,8.35,0.118,21.0,10,0
9241,2025-03-18 04:20:39,12396,36.0,319,clothing,debit_card,in_store,MX,MXN,3,27.32,0.17,69.71,18,0
13425,2025-08-27 23:20:02,12605,34.0,380,clothing,credit_card,online,BR,BRL,2,19.82,0.407,23.05,14,0
3030,2025-08-30 06:22:21,12798,54.0,646,restaurant,credit_card,in_store,BR,BRL,3,12.88,0.029,38.24,25,0
12586,2025-09-03 06:28:15,10635,31.0,559,grocery,debit_card,in_store,MX,MXN,1,14.64,0.132,13.29,24,0
19658,2025-05-03 08:59:47,13606,18.0,969,electronics,credit_card,online,AR,USD,3,346.92,0.05,988.58,45,0
16403,2025-02-10 13:48:45,10205,18.0,41,entertainment,credit_card,online,AR,USD,1,23.26,0.169,24.03,1,0
3412,2025-09-24 10:14:35,11205,26.0,314,clothing,debit_card,online,AR,USD,3,18.65,0.029,52.86,14,1
16562,2025-05-08 02:25:44,12441,43.0,234,clothing,credit_card,online,US,USD,3,30.97,0.031,86.79,10,0
8228,2025-05-16 05:17:02,10585,41.0,1022,restaurant,bank_transfer,online,MX,MXN,2,7.31,0.247,8.68,32,0
8455,2025-08-28 17:57:56,13383,36.0,100,healthcare,debit_card,online,BR,BRL,4,64.93,0.433,149.45,6,0
4712,2025-08-03 10:16:51,11570,55.0,603,grocery,debit_card,online,,,8,2.4,0.345,12.68,24,0
13501,2025-02-20 13:06:39,12820,48.0,719,restaurant,bank_transfer,online,CA,USD,3,9.33,0.088,28.96,21,0
4445,2025-07-19 03:28:50,10972,50.0,191,grocery,bank_transfer,in_store,CA,USD,6,14.32,0.178,70.14,7,0
3855,2025-05-11 10:59:33,10884,23.0,607,grocery,credit_card,online,ES,USD,2,11.62,0.182,20.48,26,0
8270,2025-05-18 17:19:50,14134,,184,healthcare,debit_card,online,US,USD,3,96.85,0.065,270.44,13,0
19959,2025-08-02 00:32:14,14771,39.0,77,electronics,bank_transfer,in_store,US,USD,2,163.64,0.02,319.24,2,0
12458,2025-05-03 05:48:53,10263,19.0,947,restaurant,credit_card,in_store,MX,MXN,3,7.07,0.149,17.31,43,0
9774,2025-01-30 13:29:08,13496,28.0,291,restaurant,debit_card,online,MX,MXN,3,14.51,0.1,36.16,14,0
7286,2025-08-09 09:45:09,14821,26.0,331,grocery,debit_card,in_store,US,USD,3,13.34,0.136,33.84,15,0
3,2025-06-26 05:08:05,11034,28.0,127,clothing,credit_card,online,MX,MXN,3,55.02,0.097,149.46,4,0
10810,2025-05-30 13:22:33,13068,53.0,845,travel,debit_card,online,AR,USD,3,541.29,0.124,1424.77,35,0
49,2025-07-03 14:07:50,11328,47.0,89,utilities,wallet,online,US,USD,2,18.09,,32.72,4,0
10950,2025-07-04 12:35:17,14715,53.0,664,clothing,credit_card,online,MX,MXN,3,33.88,0.095,92.65,21,0
1990,2025-09-07 20:19:45,11862,42.0,314,grocery,wallet,online,,,3,9.4,0.6,12.09,13,0
3446,2025-07-12 14:13:15,11424,40.0,489,electronics,debit_card,online,BR,BRL,4,198.25,0.188,645.56,19,0
440,2025-04-18 16:45:47,14715,19.0,146,grocery,credit_card,in_store,ES,USD,7,12.03,0.133,73.53,5,0
7678,2025-08-03 12:08:40,12997,28.0,516,healthcare,credit_card,in_store,MX,MXN,4,35.17,0.211,111.96,20,0
12202,2025-05-30 16:39:23,10047,18.0,294,utilities,credit_card,in_store,BR,BRL,3,113.72,0.088,311.55,13,0
19862,2025-01-21 23:53:31,12888,40.0,271,clothing,wallet,online,AR,USD,2,19.24,0.327,22.9,10,0
8530,2025-07-05 16:36:57,14876,52.0,395,electronics,credit_card,in_store,MX,MXN,3,599.57,0.202,1429.96,22,0
3510,2025-04-05 16:03:04,13287,37.0,359,entertainment,credit_card,online,MX,MXN,2,12.35,0.023,22.38,13,0
2133,2025-05-21 07:54:47,13838,38.0,355,entertainment,wallet,online,MX,MXN,1,6.26,0.496,4.41,12,0
3976,2025-07-07 04:31:39,10691,18.0,693,grocery,credit_card,in_store,MX,MXN,6,10.45,0.252,45.74,26,0
12391,2025-01-29 17:37:51,13684,55.0,128,healthcare,credit_card,in_store,BR,BRL,4,65.24,0.373,161.19,5,0
11993,2025-07-26 15:22:37,10587,44.0,450,electronics,wallet,in_store,CO,USD,1,230.09,0.097,204.68,21,0
13429,2025-01-11 23:10:41,11318,35.0,17,clothing,debit_card,online,CA,USD,5,22.54,0.414,64.63,3,0
18741,2025-02-25 06:59:02,14673,62.0,763,restaurant,debit_card,online,MX,MXN,3,15.69,0.162,40.56,31,0
8704,2025-01-19 18:01:16,12050,51.0,343,entertainment,debit_card,online,ES,USD,5,22.2,0.063,105.28,11,0
1583,2025-05-20 06:41:24,10541,47.0,351,grocery,debit_card,online,CA,USD,3,2.91,,7.26,14,0
4030,2025-04-22 09:23:13,11086,39.0,51,restaurant,credit_card,online,AR,USD,6,24.17,0.072,133.25,4,0
10330,2025-06-25 12:10:35,14490,44.0,53,restaurant,credit_card,online,US,USD,2,10.42,0.199,13.14,2,0
2499,2025-01-09 22:03:45,11041,56.0,455,travel,credit_card,in_store,MX,MXN,2,179.15,0.1,322.38,13,0
15422,2025-04-28 22:52:50,14888,34.0,324,utilities,debit_card,online,AR,USD,3,35.77,,69.42,9,0
14448,2025-02-06 06:18:04,13057,50.0,37,entertainment,debit_card,online,US,USD,5,18.68,0.042,89.77,0,0
12225,2025-05-10 22:40:07,13732,35.0,720,entertainment,debit_card,online,MX,MXN,4,13.78,,55.23,25,0
3529,2025-02-20 03:56:45,12356,47.0,589,healthcare,wallet,online,CA,USD,3,26.17,,69.07,26,0
12129,2025-08-12 16:50:24,11376,50.0,2890,restaurant,credit_card,in_store,MX,MXN,5,12.38,0.16,50.19,117,0
4459,2025-02-01 15:28:42,11790,50.0,1181,grocery,credit_card,in_store,BR,BRL,3,3.05,0.03,7.67,49,0
16060,2025-06-09 15:58:46,14347,46.0,45,utilities,credit_card,online,CO,USD,3,42.29,0.298,91.26,2,0
18702,2025-07-29 05:29:04,11812,29.0,133,clothing,credit_card,online,US,USD,5,34.06,0.398,101.44,10,0
13819,2025-06-28 15:46:31,13500,37.0,562,entertainment,debit_card,in_store,BR,BRL,4,4.46,0.108,15.76,16,0
14678,2025-02-05 15:00:30,12553,42.0,184,grocery,debit_card,in_store,MX,MXN,5,10.78,0.079,49.7,6,0
4639,2025-06-16 14:51:46,13160,30.0,42,restaurant,credit_card,online,US,USD,4,8.56,0.019,35.69,3,0
2018,2025-07-16 08:07:54,12769,43.0,190,restaurant,credit_card,online,US,USD,3,20.48,0.14,49.8,8,0
12275,2025-06-26 17:22:46,13629,31.0,94,electronics,credit_card,online,MX,MXN,3,133.02,0.179,325.13,6,0
17791,2025-05-22 09:01:33,11260,40.0,544,healthcare,debit_card,in_store,MX,MXN,4,60.23,0.182,198.78,16,0
12908,2025-03-15 11:25:43,10136,41.0,148,grocery,credit_card,in_store,US,USD,4,30.41,0.197,99.9,7,1
3800,2025-01-15 22:50:41,14002,38.0,43,restaurant,wallet,online,MX,MXN,3,5.54,0.02,16.91,4,0
13059,2025-03-04 01:27:22,11713,57.0,1535,grocery,credit_card,in_store,CO,USD,3,12.6,0.396,25.71,68,0
19969,2025-09-24 13:36:57,12363,57.0,7,electronics,credit_card,in_store,CA,USD,1,184.66,0.102,166.1,0,0
3814,2025-04-30 14:49:41,10773,28.0,63,utilities,debit_card,in_store,CO,USD,7,65.47,0.307,314.0,2,0
1086,2025-08-15 03:50:47,14424,45.0,196,restaurant,bank_transfer,online,CO,USD,2,13.53,0.209,21.52,5,0
4499,2025-03-08 15:37:56,12378,46.0,405,grocery,debit_card,online,MX,MXN,5,6.19,0.132,29.36,13,0
18304,2025-04-05 19:33:40,13637,25.0,141,grocery,wallet,in_store,US,USD,8,4.01,0.022,32.46,4,0
13536,2025-05-09 16:27:17,12943,51.0,20,healthcare,wallet,online,MX,MXN,4,73.45,0.354,189.48,0,0
17550,2025-07-02 14:14:09,12292,55.0,272,healthcare,wallet,in_store,US,USD,1,78.19,0.159,65.2,15,0
12024,2025-07-09 10:33:34,11598,36.0,276,healthcare,bank_transfer,in_store,ES,USD,4,94.81,,226.49,13,0
